Campaign ID,Campaign,Campaign Daily Budget,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Status,Final URL
24186318918,TL - Yetiskin Programlar,120,Enabled,,,,,,,
24192545915,TL - Youth Veli,60,Enabled,,,,,,,
24204393822,TL - The Auteur Lab,,Paused,,,,,,,
24204376035,TL - Techne Musical Lab,,Paused,,,,,,,
24210088271,TL - English Drama Lab,,Paused,,,,,,,
24204398787,TL - Broadway Musical Dance,,Paused,,,,,,,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,şan kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro eğitimi,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,sahne sanatları kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal atölyesi istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,kadıköy müzikal kursu,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,müzikal tiyatro kursu istanbul,Exact,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkarma atölyesi,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkartma atölyesi,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,oyun çıkarma atölyesi istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1B Techne Musical Lab,,Enabled,sahne oyunu atölyesi istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,broadway dans kursu,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,müzikal dans kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,jazz dans kursu istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,theatre dance istanbul,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,dans kursu kadıköy,Phrase,Paused,
24186318918,TL - Yetiskin Programlar,,,1C Broadway Musical Dance,,Enabled,kadıköy dans atölyesi,Phrase,Paused,
